id,fecha,status,tipo_contenido,prioridad,titulo,keyword_principal,intencion,zona,cluster,slug,pagina_pilar,formato_social,gancho_social,fuente_idea,referencia_fuente,referencia_social,enlaces_internos,revision_requerida,notas,fecha_publicacion,url
mac-seo-2026-011,2026-09-22,pendiente,articulo,media,"Mantenimiento de aerotermia: revisiones recomendadas y señales de alerta","mantenimiento aerotermia",informacional,España,Aerotermia,mantenimiento-aerotermia-revisiones,/aerotermia,"checklist carrusel","La aerotermia necesita poco mantenimiento pero no cero",dudas-posventa,manuales-y-fichas-tecnicas-fabricantes,"","/aerotermia;/consultoria-gratuita;/blog/como-calcular-potencia-aerotermia-vivienda",tecnica,"No sustituir el manual del fabricante ni el criterio del mantenedor",,""
mac-seo-2026-012,2026-09-25,pendiente,articulo,media,"Mantenimiento de placas solares: qué revisar y cuándo pedir ayuda","mantenimiento placas solares",informacional,España,Fotovoltaica,mantenimiento-placas-solares,/fotovoltaica,"checklist carrusel","Limpiar más no siempre significa producir más",dudas-posventa,https://www.idae.es,"","/fotovoltaica;/consultoria-gratuita;/blog/cuantas-placas-solares-necesita-una-vivienda",tecnica-y-seguridad,"Incluir seguridad en cubierta y evitar instrucciones peligrosas",,""
mac-seo-2026-013,2026-09-29,pendiente,articulo,alta,"Aerotermia en la Sierra de Madrid: guía para chalets y viviendas unifamiliares","aerotermia Sierra de Madrid",comercial,"Sierra de Madrid",Aerotermia,aerotermia-sierra-de-madrid-guia-chalets,/aerotermia,"reel local + carrusel","El clima y la vivienda de la Sierra cambian el diseño",experiencia-local-maclima,casos-y-criterio-tecnico-maclima,"","/aerotermia;/consultoria-gratuita;/blog/precio-aerotermia-madrid-2026",tecnica-y-local,"No convertir en plantilla para múltiples municipios",,""
mac-seo-2026-014,2026-10-02,pendiente,articulo,alta,"Cambiar una caldera de gasoil por aerotermia: proceso compatibilidad y decisiones","cambiar caldera gasoil por aerotermia",comercial,España,Aerotermia,cambiar-caldera-gasoil-por-aerotermia,/aerotermia,"carrusel paso a paso","Antes de quitar la caldera hay cuatro cosas que revisar",dudas-clientes,https://www.idae.es,"","/aerotermia;/consultoria-gratuita;/blog/aerotermia-con-radiadores",tecnica,"Cubrir depósito emisores espacio potencia eléctrica y respaldo",,""
mac-seo-2026-015,2026-10-06,pendiente,articulo,alta,"Geotermia o aerotermia: diferencias para elegir un sistema de climatización","geotermia vs aerotermia",comercial,España,Geotermia,geotermia-vs-aerotermia,/geotermia,"carrusel comparativo","La opción más eficiente depende también de terreno y proyecto",investigacion-serp,https://www.madrid.es/go/oficinaverde,"","/geotermia;/aerotermia;/consultoria-gratuita",tecnica,"Bloqueado hasta publicar y validar /geotermia",,""
mac-seo-2026-016,2026-10-09,pendiente,articulo,alta,"Precio de la geotermia en Madrid: de qué depende una instalación","precio geotermia Madrid",comercial,"Comunidad de Madrid",Geotermia,precio-geotermia-madrid,/geotermia,"carrusel + reel corto","En geotermia el terreno también forma parte del presupuesto",investigacion-serp-y-dudas-clientes,presupuestos-y-estudios-maclima,"","/geotermia;/consultoria-gratuita;/blog/geotermia-vs-aerotermia",tecnica-y-comercial,"Bloqueado hasta publicar /geotermia y validar rangos",,""
mac-seo-2026-017,2026-10-13,pendiente,articulo,media,"Geotermia en una vivienda de obra nueva: cuándo estudiar su viabilidad","geotermia vivienda obra nueva",comercial,España,Geotermia,geotermia-vivienda-obra-nueva,/geotermia,"carrusel de proceso","La mejor fase para estudiar geotermia es antes de cerrar el proyecto",dudas-profesionales,https://www.madrid.es/go/oficinaverde,"","/geotermia;/consultoria-gratuita;/blog/precio-geotermia-madrid",tecnica,"Revisar captación espacio permisos demanda y coordinación de obra",,""
mac-seo-2026-018,2026-10-16,pendiente,articulo,alta,"Bomba de calor para ACS o termo eléctrico: diferencias de consumo espacio y uso","bomba de calor ACS vs termo eléctrico",comercial,España,Integración,bomba-calor-acs-vs-termo-electrico,/aerotermia,"carrusel comparativo","Calentar agua con electricidad no siempre significa lo mismo",dudas-clientes,https://www.idae.es,"","/aerotermia;/consultoria-gratuita;/catalogo#aerotermia-catalogo",tecnica,"Comparar con supuestos claros y sin ahorros garantizados",,""
mac-seo-2026-019,2026-10-20,pendiente,articulo,alta,"Placas solares en comunidades de propietarios de Madrid: acuerdos y pasos básicos","placas solares comunidad propietarios Madrid",comercial,"Comunidad de Madrid",Fotovoltaica,placas-solares-comunidades-propietarios-madrid,/fotovoltaica,"carrusel paso a paso","Una instalación comunitaria empieza antes de subir al tejado",dudas-comunidades,https://www.comunidad.madrid/consumo/instalacion-placas-solares-comunidades-propietarios,"","/fotovoltaica;/consultoria-gratuita;/blog/autoconsumo-colectivo-o-comunidad-energetica",tecnica-y-legal,"Revisión humana de normativa y acuerdos antes de publicar",,""
mac-seo-2026-020,2026-10-23,pendiente,articulo,media,"Autoconsumo colectivo o comunidad energética: diferencias y posibilidades","autoconsumo colectivo vs comunidad energética",informacional,"Comunidad de Madrid",Fotovoltaica,autoconsumo-colectivo-o-comunidad-energetica,/fotovoltaica,"carrusel educativo","Compartir energía no convierte automáticamente un proyecto en comunidad energética",evento-local-y-dudas-clientes,https://www.madrid.es/go/oficinaverde,"","/fotovoltaica;/consultoria-gratuita;/blog/maclima-comunidad-energetica-el-boalo-cerceda-mataelpino",tecnica-y-legal,"Actualizar regulación y citar fuentes oficiales",,""
mac-seo-2026-021,2026-10-27,pendiente,articulo,alta,"BESS para empresas: cuándo puede tener sentido almacenar energía","BESS para empresas",comercial,España,BESS,bess-para-empresas,/consultoria-gratuita,"reel B2B + carrusel","Una batería empresarial se decide con la curva de consumo",oferta-y-catalogo-maclima,fichas-tecnicas-y-casos-maclima,"","/fotovoltaica;/consultoria-gratuita;/catalogo#fotovoltaica-catalogo",tecnica-y-comercial,"No prometer rentabilidad sin datos horarios y tarifas",,""
mac-seo-2026-022,2026-10-30,pendiente,articulo,media,"Batería solar para cortes de luz: qué necesita un sistema de respaldo","batería solar para cortes de luz",comercial,España,BESS,bateria-solar-respaldo-cortes-luz,/fotovoltaica,"carrusel técnico","Tener batería no garantiza electricidad durante un corte",dudas-clientes,manuales-y-fichas-tecnicas-fabricantes,"","/fotovoltaica;/consultoria-gratuita;/blog/merece-la-pena-una-bateria-solar",tecnica-y-seguridad,"Explicar inversor backup aislamiento y cargas críticas",,""
mac-seo-2026-023,2026-11-03,pendiente,articulo,media,"Cómo preparar la aerotermia para el invierno: comprobaciones antes del frío","preparar aerotermia para el invierno",informacional,España,Aerotermia,preparar-aerotermia-para-el-invierno,/aerotermia,"checklist carrusel + reel","Las revisiones sencillas de otoño evitan sorpresas en enero",estacional-y-posventa,manuales-y-fichas-tecnicas-fabricantes,"","/aerotermia;/consultoria-gratuita;/blog/mantenimiento-aerotermia-revisiones",tecnica,"No incluir manipulaciones reservadas a profesionales",,""
mac-seo-2026-024,2026-11-06,pendiente,articulo,media,"Estudio energético de una vivienda: qué revisar antes de elegir aerotermia placas o geotermia","estudio energético vivienda Madrid",comercial,"Comunidad de Madrid",Integración,estudio-energetico-vivienda-madrid,/consultoria-gratuita,"carrusel de diagnóstico","Elegir equipo antes de entender la vivienda invierte el orden",propuesta-consultiva-maclima,criterio-tecnico-maclima,"","/consultoria-gratuita;/aerotermia;/fotovoltaica;/geotermia",tecnica-y-comercial,"Pieza de cierre del ciclo y entrada a consultoría",,""
